Date,Revenue,COGS,Operating_Expenses,Interest_Expense,Taxes,Gross_Profit,Operating_Income,Net_Income,EBITDA
2028-01-25,323677,228604,79487,19637,8792,95073,15586,-12843,114710
2028-01-26,22015,93089,43111,14036,2074,-71074,-114185,-130295,-57038
2028-01-27,190590,58589,30770,10175,15058,132001,101231,75998,142176
2028-01-28,499872,17249,11806,14049,13608,482623,470817,443160,496672
2028-01-29,387328,138970,101528,4854,22430,248358,146830,119546,253212
2028-01-30,604182,257112,58971,7517,22993,347070,288099,257589,354587
2028-01-31,515311,57331,115343,15827,28215,457980,342637,298595,473807
2028-02-01,184284,108365,143987,783,8067,75919,-68068,-76918,76702
2028-02-02,671062,175650,86238,2512,10394,495412,409174,396268,497924
2028-02-03,613404,69341,10896,17525,6131,544063,533167,509511,561588
2028-02-04,32897,189022,104813,2440,16892,-156125,-260938,-280270,-153685
2028-02-05,107002,86278,146923,12929,7829,20724,-126199,-146957,33653
2028-02-06,297813,80680,82099,9101,27056,217133,135034,98877,226234
2028-02-07,337868,348374,74207,1389,19963,-10506,-84713,-106065,-9117
2028-02-08,179109,29796,155940,17007,25917,149313,-6627,-49551,166320
2028-02-09,588542,245186,169296,15284,24652,343356,174060,134124,358640
2028-02-10,220732,147287,105626,11331,13238,73445,-32181,-56750,84776
2028-02-11,471452,171791,31958,19085,4934,299661,267703,243684,318746
2028-02-12,493902,155139,28356,17328,14058,338763,310407,279021,356091
2028-02-13,392114,281317,17969,7220,26599,110797,92828,59009,118017
2028-02-14,648313,57532,181115,18639,8730,590781,409666,382297,609420
2028-02-15,548070,340372,58223,12304,26064,207698,149475,111107,220002
2028-02-16,21719,38120,186820,16835,9348,-16401,-203221,-229404,434
2028-02-17,82384,271849,39465,7208,22689,-189465,-228930,-258827,-182257
2028-02-18,284995,364169,63076,11882,9626,-79174,-142250,-163758,-67292
2028-02-19,511003,158269,145809,15860,20154,352734,206925,170911,368594
2028-02-20,407498,49894,85342,13217,15412,357604,272262,243633,370821
2028-02-21,654196,144494,36246,7348,23694,509702,473456,442414,517050
2028-02-22,413709,195399,23202,7760,22317,218310,195108,165031,226070
2028-02-23,686141,178693,199164,10827,25484,507448,308284,271973,518275
2028-02-24,510178,85405,87130,14998,28378,424773,337643,294267,439771
2028-02-25,689750,189628,45519,1448,26987,500122,454603,426168,501570
2028-02-26,561394,355175,42479,18659,15474,206219,163740,129607,224878
2028-02-27,339368,293080,156648,13543,29789,46288,-110360,-153692,59831
2028-02-28,452583,302925,34304,14869,26279,149658,115354,74206,164527
2028-02-29,519790,359017,177971,13140,18481,160773,-17198,-48819,173913
2028-03-01,559236,103128,118708,18946,10128,456108,337400,308326,475054
2028-03-02,775875,114246,192158,16591,23246,661629,469471,429634,678220
2028-03-03,232225,178336,79397,1187,11454,53889,-25508,-38149,55076
2028-03-04,748387,323710,79787,11188,14660,424677,344890,319042,435865
2028-03-05,734786,69488,95561,3907,14153,665298,569737,551677,669205
2028-03-06,746774,143567,47816,16182,12263,603207,555391,526946,619389
2028-03-07,210034,281886,28586,14689,8514,-71852,-100438,-123641,-57163
2028-03-08,406564,155258,156080,15886,1154,251306,95226,78186,267192
2028-03-09,776556,130498,90536,11249,13832,646058,555522,530441,657307
2028-03-10,255451,299443,93284,14124,21979,-43992,-137276,-173379,-29868
2028-03-11,528640,389961,160764,1818,9107,138679,-22085,-33010,140497
2028-03-12,114792,392749,33493,8926,27203,-277957,-311450,-347579,-269031
2028-03-13,706548,287297,40338,4196,20506,419251,378913,354211,423447
2028-03-14,63039,288189,110924,13628,29895,-225150,-336074,-379597,-211522
2028-03-15,411265,268651,112931,13259,10133,142614,29683,6291,155873
2028-03-16,244724,177271,124727,2288,25435,67453,-57274,-84997,69741
2028-03-17,272287,73136,54718,7065,22519,199151,144433,114849,206216
2028-03-18,32771,308139,172344,8506,1843,-275368,-447712,-458061,-266862
2028-03-19,612838,216764,145437,15853,20953,396074,250637,213831,411927
2028-03-20,401847,219214,48009,8509,16712,182633,134624,109403,191142
2028-03-21,273968,197809,165362,1491,4029,76159,-89203,-94723,77650
2028-03-22,292705,308446,40951,1681,22217,-15741,-56692,-80590,-14060
2028-03-23,26048,182858,48920,18900,9901,-156810,-205730,-234531,-137910
2028-03-24,461372,252742,153862,14655,8281,208630,54768,31832,223285
2028-03-25,753216,210446,159266,3550,6629,542770,383504,373325,546320
2028-03-26,170428,251527,189926,15809,13041,-81099,-271025,-299875,-65290
2028-03-27,723834,158422,166159,2938,9818,565412,399253,386497,568350
2028-03-28,467452,153883,101164,10210,5010,313569,212405,197185,323779
2028-03-29,78022,195640,41770,19605,3848,-117618,-159388,-182841,-98013
2028-03-30,755960,54286,133052,10558,8363,701674,568622,549701,712232
2028-03-31,143389,358949,170753,6845,29068,-215560,-386313,-422226,-208715
2028-04-01,71905,197185,92355,6272,23754,-125280,-217635,-247661,-119008
2028-04-02,520089,244871,10496,3626,1778,275218,264722,259318,278844
2028-04-03,427878,157602,94895,15355,6481,270276,175381,153545,285631
2028-04-04,336760,165269,15706,4623,9889,171491,155785,141273,176114
2028-04-05,477727,255317,23555,712,17704,222410,198855,180439,223122
2028-04-06,202595,195328,101744,14762,5628,7267,-94477,-114867,22029
2028-04-07,530102,388864,154925,12055,13946,141238,-13687,-39688,153293
2028-04-08,67108,266267,8002,8872,23776,-199159,-207161,-239809,-190287
2028-04-09,624570,166851,146532,18840,2177,457719,311187,290170,476559
2028-04-10,129292,43642,152644,11746,13748,85650,-66994,-92488,97396
2028-04-11,676206,376559,24471,19266,7723,299647,275176,248187,318913
2028-04-12,257417,114656,169347,3746,5478,142761,-26586,-35810,146507
2028-04-13,209703,33666,11363,6121,13774,176037,164674,144779,182158
2028-04-14,785521,12875,22915,11346,24664,772646,749731,713721,783992
2028-04-15,619121,182649,192420,702,17538,436472,244052,225812,437174
2028-04-16,449137,220600,119491,14687,13168,228537,109046,81191,243224
2028-04-17,799688,218806,17670,6120,12542,580882,563212,544550,587002
2028-04-18,346686,194691,25957,5551,8399,151995,126038,112088,157546
2028-04-19,500220,349993,168807,18231,16329,150227,-18580,-53140,168458
2028-04-20,84629,332557,173214,12506,18379,-247928,-421142,-452027,-235422
2028-04-21,726273,327919,140826,8424,21567,398354,257528,227537,406778
2028-04-22,640885,27023,196508,7954,22962,613862,417354,386438,621816
2028-04-23,679460,319414,99454,3837,22150,360046,260592,234605,363883
2028-04-24,447712,300455,168327,19006,15690,147257,-21070,-55766,166263
2028-04-25,397600,232188,132736,3332,7189,165412,32676,22155,168744
2028-04-26,88370,307985,185414,14456,5974,-219615,-405029,-425459,-205159
2028-04-27,225484,268486,108173,1711,22217,-43002,-151175,-175103,-41291
2028-04-28,57286,222780,75579,14274,9338,-165494,-241073,-264685,-151220
2028-04-29,206693,130264,17218,2521,4526,76429,59211,52164,78950
2028-04-30,385964,178665,80218,17965,21939,207299,127081,87177,225264
2028-05-01,30235,245646,63025,18912,13120,-215411,-278436,-310468,-196499
2028-05-02,705763,302567,20725,1005,12323,403196,382471,369143,404201
2028-05-03,229100,270647,188120,11825,6418,-41547,-229667,-247910,-29722
2028-05-04,568133,188030,115911,15462,20771,380103,264192,227959,395565
2028-05-05,361762,192880,110952,7463,8624,168882,57930,41843,176345
2028-05-06,192391,134277,195336,5616,1860,58114,-137222,-144698,63730
2028-05-07,608185,229681,74989,3548,6124,378504,303515,293843,382052
2028-05-08,790213,165957,180815,16464,29383,624256,443441,397594,640720
2028-05-09,83013,120107,61159,5898,12634,-37094,-98253,-116785,-31196
2028-05-10,689605,351361,60367,16589,3789,338244,277877,257499,354833
2028-05-11,102811,307227,119684,8707,21835,-204416,-324100,-354642,-195709
2028-05-12,601834,297648,50799,14889,23937,304186,253387,214561,319075
2028-05-13,109247,306259,155200,12298,18502,-197012,-352212,-383012,-184714
2028-05-14,362042,157916,147518,19684,13600,204126,56608,23324,223810
2028-05-15,770197,176842,116285,604,28381,593355,477070,448085,593959
2028-05-16,547639,320413,185597,10733,18719,227226,41629,12177,237959
2028-05-17,697954,328476,199208,7632,21190,369478,170270,141448,377110
2028-05-18,140020,30272,14268,609,1304,109748,95480,93567,110357
2028-05-19,217042,281281,39426,18584,18709,-64239,-103665,-140958,-45655
2028-05-20,170240,100595,91233,10233,20421,69645,-21588,-52242,79878
2028-05-21,629527,59662,119906,16310,6569,569865,449959,427080,586175
2028-05-22,256494,171752,150397,13678,27183,84742,-65655,-106516,98420
2028-05-23,189483,78370,160436,2851,7684,111113,-49323,-59858,113964
2028-05-24,491808,124819,84721,11545,12877,366989,282268,257846,378534
2028-05-25,304906,308635,151415,16695,9559,-3729,-155144,-181398,12966
2028-05-26,799676,47827,154515,16601,28015,751849,597334,552718,768450
2028-05-27,768529,167284,37079,10998,24570,601245,564166,528598,612243
2028-05-28,400555,56218,45854,5836,1254,344337,298483,291393,350173
2028-05-29,672753,147904,135046,7366,8073,524849,389803,374364,532215
2028-05-30,426157,172855,126400,7310,7143,253302,126902,112449,260612
2028-05-31,87940,144169,52484,9565,21837,-56229,-108713,-140115,-46664
2028-06-01,309557,162267,110642,9223,10107,147290,36648,17318,156513
2028-06-02,197341,78573,152047,13491,26212,118768,-33279,-72982,132259
2028-06-03,623266,230289,112904,8020,11367,392977,280073,260686,400997
2028-06-04,32175,298453,60187,14132,12113,-266278,-326465,-352710,-252146
2028-06-05,129110,319773,54056,18730,13315,-190663,-244719,-276764,-171933
2028-06-06,583127,17045,185734,886,13500,566082,380348,365962,566968
2028-06-07,31841,140300,43064,19911,22820,-108459,-151523,-194254,-88548
2028-06-08,586450,103310,120092,4868,3086,483140,363048,355094,488008
2028-06-09,541124,296330,160607,16665,24565,244794,84187,42957,261459
2028-06-10,446853,347269,175884,14494,25409,99584,-76300,-116203,114078
2028-06-11,386316,365117,56767,18107,11269,21199,-35568,-64944,39306
2028-06-12,651038,234338,46585,18839,14752,416700,370115,336524,435539
2028-06-13,514747,57400,38445,2304,26484,457347,418902,390114,459651
2028-06-14,86767,151825,74862,10201,2713,-65058,-139920,-152834,-54857
2028-06-15,76494,91716,90104,16339,16253,-15222,-105326,-137918,1117
2028-06-16,433753,149020,111798,8934,20323,284733,172935,143678,293667
2028-06-17,559822,230559,115579,624,10014,329263,213684,203046,329887
2028-06-18,67948,279508,102470,4552,8882,-211560,-314030,-327464,-207008
2028-06-19,165877,364843,108843,19985,12361,-198966,-307809,-340155,-178981
2028-06-20,89136,75527,111000,10884,11366,13609,-97391,-119641,24493
2028-06-21,186437,94255,149004,15770,29291,92182,-56822,-101883,107952
2028-06-22,43109,270310,30246,16114,5446,-227201,-257447,-279007,-211087
2028-06-23,690559,390074,114638,12417,10714,300485,185847,162716,312902
2028-06-24,700542,303083,51722,14416,7139,397459,345737,324182,411875
2028-06-25,677180,132073,175170,8054,15680,545107,369937,346203,553161
2028-06-26,759848,124124,145071,18250,12694,635724,490653,459709,653974
2028-06-27,632442,166614,110445,14023,24586,465828,355383,316774,479851
2028-06-28,498566,244077,8085,14717,27487,254489,246404,204200,269206
2028-06-29,602221,344640,173582,1128,1364,257581,83999,81507,258709
2028-06-30,483115,88482,172793,19276,5260,394633,221840,197304,413909
2028-07-01,199350,225732,35482,1407,20358,-26382,-61864,-83629,-24975
2028-07-02,724704,98086,137981,13410,6230,626618,488637,468997,640028
2028-07-03,659734,379274,54910,15575,18904,280460,225550,191071,296035
2028-07-04,545845,364997,61703,11918,4525,180848,119145,102702,192766
2028-07-05,434800,35891,123221,7434,19382,398909,275688,248872,406343
2028-07-06,545962,134959,77733,9051,5273,411003,333270,318946,420054
2028-07-07,222638,345631,16472,3861,24286,-122993,-139465,-167612,-119132
2028-07-08,446454,398847,194357,13827,15511,47607,-146750,-176088,61434
2028-07-09,55284,133293,65926,19917,29695,-78009,-143935,-193547,-58092
2028-07-10,786379,338244,11598,15264,12908,448135,436537,408365,463399
2028-07-11,192962,262025,96420,2016,6584,-69063,-165483,-174083,-67047
2028-07-12,548181,125122,144746,13667,6572,423059,278313,258074,436726
2028-07-13,378252,396107,104748,19385,879,-17855,-122603,-142867,1530
2028-07-14,721761,298296,105617,6539,16009,423465,317848,295300,430004
2028-07-15,493213,52963,176520,15296,23319,440250,263730,225115,455546
2028-07-16,714858,261240,190264,4733,28526,453618,263354,230095,458351
2028-07-17,684570,125874,146073,7451,20660,558696,412623,384512,566147
2028-07-18,20944,175103,73722,11692,18501,-154159,-227881,-258074,-142467
2028-07-19,312880,117540,43944,16684,15272,195340,151396,119440,212024
2028-07-20,453261,69426,188108,18174,21806,383835,195727,155747,402009
2028-07-21,546309,366975,58898,16661,7946,179334,120436,95829,195995
2028-07-22,400129,88669,98275,15562,9036,311460,213185,188587,327022
2028-07-23,502452,176620,106622,4217,26235,325832,219210,188758,330049
2028-07-24,412196,15081,113496,11321,10372,397115,283619,261926,408436
2028-07-25,337594,277919,141941,2782,17348,59675,-82266,-102396,62457
2028-07-26,263766,57650,130387,17434,5952,206116,75729,52343,223550
2028-07-27,457933,285444,189456,10309,14580,172489,-16967,-41856,182798
2028-07-28,111552,346112,70214,17558,16237,-234560,-304774,-338569,-217002
2028-07-29,430569,188215,28165,12288,23450,242354,214189,178451,254642
2028-07-30,280028,23585,46188,7161,7024,256443,210255,196070,263604
2028-07-31,86449,270029,130077,19840,860,-183580,-313657,-334357,-163740
2028-08-01,647050,89410,46669,12241,28396,557640,510971,470334,569881
2028-08-02,232037,178971,59347,13397,20197,53066,-6281,-39875,66463
2028-08-03,281302,238231,173818,11444,10741,43071,-130747,-152932,54515
2028-08-04,368995,300368,188341,8066,2295,68627,-119714,-130075,76693
2028-08-05,295850,110008,5416,18255,29198,185842,180426,132973,204097
2028-08-06,556788,349276,188158,14428,24887,207512,19354,-19961,221940
2028-08-07,424501,170679,153998,3373,3530,253822,99824,92921,257195
2028-08-08,47198,325760,128696,746,17456,-278562,-407258,-425460,-277816
2028-08-09,142044,160723,113881,10059,19920,-18679,-132560,-162539,-8620
2028-08-10,387597,277533,35774,5400,3559,110064,74290,65331,115464
2028-08-11,289107,241051,136323,7742,20024,48056,-88267,-116033,55798
2028-08-12,577500,196929,74115,19721,11187,380571,306456,275548,400292
2028-08-13,303488,131805,20360,4658,14005,171683,151323,132660,176341
2028-08-14,414884,259481,26890,10030,17897,155403,128513,100586,165433
2028-08-15,327493,108753,105244,8595,14364,218740,113496,90537,227335
2028-08-16,188423,253353,198455,16164,16398,-64930,-263385,-295947,-48766
2028-08-17,70448,388040,199994,7563,2189,-317592,-517586,-527338,-310029
2028-08-18,404482,324659,152363,12032,19596,79823,-72540,-104168,91855
2028-08-19,78819,81233,128050,5496,21235,-2414,-130464,-157195,3082
2028-08-20,111847,102917,131566,1335,21585,8930,-122636,-145556,10265
2028-08-21,181391,31995,57232,16846,20151,149396,92164,55167,166242
2028-08-22,730499,92279,14874,11180,16605,638220,623346,595561,649400
2028-08-23,116894,33011,102043,11935,13827,83883,-18160,-43922,95818
2028-08-24,78710,316196,27896,4562,23573,-237486,-265382,-293517,-232924
2028-08-25,73387,315037,184888,10162,4902,-241650,-426538,-441602,-231488
2028-08-26,788777,243425,162209,16751,21372,545352,383143,345020,562103
2028-08-27,626184,246261,38919,13399,19077,379923,341004,308528,393322
2028-08-28,206556,231645,103639,8297,15963,-25089,-128728,-152988,-16792
2028-08-29,84281,40613,148932,9056,24315,43668,-105264,-138635,52724
2028-08-30,249407,379907,150938,3174,24758,-130500,-281438,-309370,-127326
2028-08-31,727939,246547,193191,18954,21293,481392,288201,247954,500346
2028-09-01,635678,257150,75273,16021,760,378528,303255,286474,394549
2028-09-02,661640,321442,114623,6042,16935,340198,225575,202598,346240
2028-09-03,490686,369608,183980,2507,13146,121078,-62902,-78555,123585
2028-09-04,350626,222323,145888,3152,14270,128303,-17585,-35007,131455
2028-09-05,579463,282419,75339,7043,27738,297044,221705,186924,304087
2028-09-06,23965,204359,50941,7451,22157,-180394,-231335,-260943,-172943
2028-09-07,699753,259918,161474,8792,26748,439835,278361,242821,448627
2028-09-08,186091,154072,199956,11983,7039,32019,-167937,-186959,44002
2028-09-09,486759,48228,23075,4423,23316,438531,415456,387717,442954
2028-09-10,43948,354916,154347,4112,14230,-310968,-465315,-483657,-306856
2028-09-11,504593,10763,159028,3109,22872,493830,334802,308821,496939
2028-09-12,470294,363125,99299,9653,16935,107169,7870,-18718,116822
2028-09-13,206810,46119,165704,12476,16651,160691,-5013,-34140,173167
2028-09-14,167357,182443,112709,3496,7486,-15086,-127795,-138777,-11590
2028-09-15,718035,228657,135903,5965,9907,489378,353475,337603,495343
2028-09-16,648092,58562,128308,11275,17043,589530,461222,432904,600805
2028-09-17,293696,365029,78646,6808,28270,-71333,-149979,-185057,-64525
2028-09-18,757569,385960,50689,2929,10039,371609,320920,307952,374538
2028-09-19,297405,383553,32425,15599,6759,-86148,-118573,-140931,-70549
2028-09-20,437774,266278,19434,14245,3875,171496,152062,133942,185741
2028-09-21,706521,356223,195193,14214,3711,350298,155105,137180,364512
2028-09-22,41636,307612,141391,3188,12429,-265976,-407367,-422984,-262788
2028-09-23,289425,172039,184880,6998,5251,117386,-67494,-79743,124384
2028-09-24,424487,131937,52940,17257,29557,292550,239610,192796,309807
2028-09-25,446044,162244,99193,13827,10735,283800,184607,160045,297627
2028-09-26,303172,128486,173954,16756,3907,174686,732,-19931,191442
2028-09-27,119416,342350,124713,6882,12051,-222934,-347647,-366580,-216052
2028-09-28,250118,364374,138658,7788,27536,-114256,-252914,-288238,-106468
2028-09-29,414878,130967,37457,5555,13264,283911,246454,227635,289466
2028-09-30,141407,153449,148401,6319,24766,-12042,-160443,-191528,-5723
2028-10-01,192722,156504,169708,15419,11139,36218,-133490,-160048,51637
2028-10-02,316512,99089,186164,14219,2602,217423,31259,14438,231642
2028-10-03,792036,223209,124845,14601,13231,568827,443982,416150,583428
2028-10-04,368974,257062,50908,10680,27582,111912,61004,22742,122592
2028-10-05,547938,235637,32603,1644,15019,312301,279698,263035,313945
2028-10-06,348374,395661,144904,2643,11878,-47287,-192191,-206712,-44644
2028-10-07,688364,150555,178022,16579,7109,537809,359787,336099,554388
2028-10-08,304779,195679,44255,12776,23519,109100,64845,28550,121876
2028-10-09,220766,50603,87403,4644,23950,170163,82760,54166,174807
2028-10-10,783058,88283,57764,5784,3075,694775,637011,628152,700559
2028-10-11,234904,104929,155405,11827,3422,129975,-25430,-40679,141802
2028-10-12,82331,293999,180006,14819,3126,-211668,-391674,-409619,-196849
2028-10-13,413869,40544,194003,19312,5253,373325,179322,154757,392637
2028-10-14,30047,212741,114007,3080,13501,-182694,-296701,-313282,-179614
2028-10-15,491100,248474,163703,6303,18675,242626,78923,53945,248929
2028-10-16,280552,194628,112090,11539,4114,85924,-26166,-41819,97463
2028-10-17,549738,165815,22436,6650,2410,383923,361487,352427,390573
2028-10-18,74405,298116,193654,4797,24463,-223711,-417365,-446625,-218914
2028-10-19,135718,353760,193260,12994,9457,-218042,-411302,-433753,-205048
2028-10-20,326740,107958,175599,15179,13007,218782,43183,14997,233961
2028-10-21,80254,24739,127025,16344,12094,55515,-71510,-99948,71859
2028-10-22,197150,315760,191560,11413,15247,-118610,-310170,-336830,-107197
2028-10-23,188712,50637,48803,19272,19698,138075,89272,50302,157347
2028-10-24,703421,344449,115219,7097,29131,358972,243753,207525,366069
2028-10-25,218142,78356,74878,590,2241,139786,64908,62077,140376
2028-10-26,624129,390772,104104,13810,16743,233357,129253,98700,247167
2028-10-27,296490,307870,11429,4019,19356,-11380,-22809,-46184,-7361
2028-10-28,144826,223420,194640,1146,18667,-78594,-273234,-293047,-77448
2028-10-29,540042,91144,182043,19560,15092,448898,266855,232203,468458
2028-10-30,759427,236763,28770,9756,28630,522664,493894,455508,532420
2028-10-31,794933,118799,184514,5208,17465,676134,491620,468947,681342
2028-11-01,138021,141540,89953,18060,2002,-3519,-93472,-113534,14541
2028-11-02,782238,32726,148544,19519,21904,749512,600968,559545,769031
2028-11-03,693381,337617,100015,9124,5098,355764,255749,241527,364888
2028-11-04,550515,186138,148350,6539,21395,364377,216027,188093,370916
2028-11-05,161425,100421,91217,1628,21587,61004,-30213,-53428,62632
2028-11-06,110138,267316,91734,3805,13627,-157178,-248912,-266344,-153373
2028-11-07,226453,246606,7658,8054,10308,-20153,-27811,-46173,-12099
2028-11-08,26043,26903,120657,8800,8265,-860,-121517,-138582,7940
2028-11-09,681351,352726,121749,1368,10277,328625,206876,195231,329993
2028-11-10,379889,78698,62690,9857,6118,301191,238501,222526,311048
2028-11-11,651499,65422,79029,15648,2319,586077,507048,489081,601725
2028-11-12,769680,57183,194568,19516,6309,712497,517929,492104,732013
2028-11-13,337426,108407,23216,5260,18188,229019,205803,182355,234279
2028-11-14,395965,182206,75241,852,25184,213759,138518,112482,214611
2028-11-15,221238,393521,70282,7770,21624,-172283,-242565,-271959,-164513
2028-11-16,68691,36949,182080,1143,15589,31742,-150338,-167070,32885
2028-11-17,713062,19443,74188,13801,11437,693619,619431,594193,707420
2028-11-18,532584,150590,20279,5066,2996,381994,361715,353653,387060
2028-11-19,319942,219822,196980,14716,16164,100120,-96860,-127740,114836
2028-11-20,239973,136509,75382,18985,27490,103464,28082,-18393,122449
2028-11-21,785747,312347,87409,5537,19917,473400,385991,360537,478937
2028-11-22,359412,187083,86469,14898,23054,172329,85860,47908,187227
2028-11-23,666991,352031,170575,12627,9846,314960,144385,121912,327587
2028-11-24,362671,302241,128977,2080,21010,60430,-68547,-91637,62510
2028-11-25,657415,117571,191698,8476,6864,539844,348146,332806,548320
2028-11-26,251232,354699,79564,8998,24239,-103467,-183031,-216268,-94469
2028-11-27,50116,360375,149607,9267,10118,-310259,-459866,-479251,-300992
2028-11-28,486967,108597,166066,6679,7533,378370,212304,198092,385049
2028-11-29,369613,235896,147709,4555,19060,133717,-13992,-37607,138272
2028-11-30,797828,14613,120235,8069,17253,783215,662980,637658,791284
2028-12-01,454644,72862,112004,19866,20420,381782,269778,229492,401648
2028-12-02,583059,28484,81756,8888,8009,554575,472819,455922,563463
2028-12-03,407775,211791,134534,17226,28500,195984,61450,15724,213210
2028-12-04,37427,138157,69053,19352,29062,-100730,-169783,-218197,-81378
2028-12-05,648263,355697,92436,9536,3942,292566,200130,186652,302102
2028-12-06,607384,218361,77327,12493,16329,389023,311696,282874,401516
2028-12-07,548926,347751,192468,12634,19742,201175,8707,-23669,213809
2028-12-08,437766,368550,7629,17462,17705,69216,61587,26420,86678
2028-12-09,508956,103609,82169,9753,4865,405347,323178,308560,415100
2028-12-10,594929,385123,93543,7129,11727,209806,116263,97407,216935
2028-12-11,51011,269791,13174,17054,27453,-218780,-231954,-276461,-201726
2028-12-12,603759,369862,138612,10105,18132,233897,95285,67048,244002
2028-12-13,766946,189582,173050,7912,28570,577364,404314,367832,585276
2028-12-14,248409,273610,141101,16884,29624,-25201,-166302,-212810,-8317
2028-12-15,453004,118037,89062,6655,25064,334967,245905,214186,341622
2028-12-16,708981,259319,33337,4138,26226,449662,416325,385961,453800
2028-12-17,735348,147595,109520,7456,25019,587753,478233,445758,595209
2028-12-18,597453,26081,149609,16376,518,571372,421763,404869,587748
2028-12-19,475453,136589,76061,611,7611,338864,262803,254581,339475
2028-12-20,206899,143860,88610,11294,8093,63039,-25571,-44958,74333
2028-12-21,384328,50815,185858,6716,24572,333513,147655,116367,340229
2028-12-22,702297,377402,69335,2668,12246,324895,255560,240646,327563
2028-12-23,765513,135340,21152,14251,14722,630173,609021,580048,644424
2028-12-24,20877,280156,199410,734,20257,-259279,-458689,-479680,-258545
2028-12-25,586902,191587,29620,5735,4432,395315,365695,355528,401050
2028-12-26,422023,148968,109725,13212,23312,273055,163330,126806,286267
2028-12-27,526737,222275,17556,16301,22166,304462,286906,248439,320763
2028-12-28,176734,294884,25480,4383,20587,-118150,-143630,-168600,-113767
2028-12-29,190245,302724,134334,748,24058,-112479,-246813,-271619,-111731
2028-12-30,735799,163306,71201,13106,18020,572493,501292,470166,585599
2028-12-31,103974,355717,7531,9852,20782,-251743,-259274,-289908,-241891
2029-01-01,528795,174371,88131,5926,19436,354424,266293,240931,360350
2029-01-02,150393,128699,10001,16231,15181,21694,11693,-19719,37925
2029-01-03,98041,370561,22535,8019,4604,-272520,-295055,-307678,-264501
2029-01-04,494076,146343,20611,7079,20016,347733,327122,300027,354812
2029-01-05,227233,102407,130010,15560,8821,124826,-5184,-29565,140386
2029-01-06,663084,96991,53179,17421,4598,566093,512914,490895,583514
2029-01-07,216693,258581,53009,2594,20323,-41888,-94897,-117814,-39294
2029-01-08,729734,164727,108110,18052,22018,565007,456897,416827,583059
2029-01-09,415489,241790,124622,13809,29161,173699,49077,6107,187508
2029-01-10,314530,61752,78199,3615,10511,252778,174579,160453,256393
2029-01-11,348572,385934,145894,6137,1140,-37362,-183256,-190533,-31225
2029-01-12,77682,250227,16043,7816,27830,-172545,-188588,-224234,-164729
2029-01-13,206915,230248,14021,3466,8335,-23333,-37354,-49155,-19867
2029-01-14,580959,275648,155778,10393,4056,305311,149533,135084,315704
2029-01-15,254084,39556,24987,13659,16085,214528,189541,159797,228187
2029-01-16,260919,392574,196710,7670,23668,-131655,-328365,-359703,-123985
2029-01-17,132596,366103,66477,8981,1902,-233507,-299984,-310867,-224526
2029-01-18,322400,374018,76689,19571,27174,-51618,-128307,-175052,-32047
2029-01-19,278231,130477,183267,12228,16670,147754,-35513,-64411,159982
2029-01-20,356271,24249,26107,13122,1649,332022,305915,291144,345144
2029-01-21,589135,354807,18996,14610,25964,234328,215332,174758,248938
2029-01-22,188995,118267,60340,5047,21874,70728,10388,-16533,75775
2029-01-23,74211,33771,80017,7481,6925,40440,-39577,-53983,47921
2029-01-24,717513,141344,50059,4176,28014,576169,526110,493920,580345
2029-01-25,402459,55764,132510,7903,29914,346695,214185,176368,354598
2029-01-26,768717,282419,30747,1471,29097,486298,455551,424983,487769
2029-01-27,545643,256697,98940,1838,5247,288946,190006,182921,290784
2029-01-28,453868,392287,110828,7240,14600,61581,-49247,-71087,68821
2029-01-29,106636,241779,11209,3061,23638,-135143,-146352,-173051,-132082
2029-01-30,657168,314647,22843,17286,8086,342521,319678,294306,359807
2029-01-31,422706,43137,58932,1110,20918,379569,320637,298609,380679
2029-02-01,22518,316679,109724,15032,12047,-294161,-403885,-430964,-279129
2029-02-02,228010,382936,150973,786,11253,-154926,-305899,-317938,-154140
2029-02-03,788948,389576,116677,3398,29443,399372,282695,249854,402770
2029-02-04,302778,204768,62055,8397,12757,98010,35955,14801,106407
2029-02-05,81662,155278,43167,4344,833,-73616,-116783,-121960,-69272
2029-02-06,205829,369063,43423,2715,25549,-163234,-206657,-234921,-160519
2029-02-07,499701,97709,75491,975,6165,401992,326501,319361,402967
2029-02-08,49400,79890,103644,13394,15160,-30490,-134134,-162688,-17096
2029-02-09,66304,60697,27344,19068,25817,5607,-21737,-66622,24675
2029-02-10,385873,230926,62811,7978,7499,154947,92136,76659,162925
2029-02-11,336138,344441,157185,19330,23933,-8303,-165488,-208751,11027
2029-02-12,59138,225977,16098,5117,7557,-166839,-182937,-195611,-161722
2029-02-13,604852,60572,126768,1018,1377,544280,417512,415117,545298
2029-02-14,101144,317890,193323,7460,13595,-216746,-410069,-431124,-209286
2029-02-15,757855,150712,42737,8591,9574,607143,564406,546241,615734
2029-02-16,767643,129769,163210,19457,10775,637874,474664,444432,657331
2029-02-17,427238,350860,99089,19399,1019,76378,-22711,-43129,95777
2029-02-18,233581,65798,77469,15218,21473,167783,90314,53623,183001
2029-02-19,583041,316812,31525,13086,20088,266229,234704,201530,279315
2029-02-20,31167,282029,38297,6235,4216,-250862,-289159,-299610,-244627
2029-02-21,494107,310782,61033,11501,27365,183325,122292,83426,194826
